,GSM997592,GSM997593,GSM997596,GSM997591,GSM997594,GSM997597,GSM997595,GSM997598
6916,4.260537941,4.741428053,4.662486553,4.57085952,5.340563155,5.028815719,4.698735565,4.667706072
5832,5.492485462,5.6195542529999996,6.952231299,7.0018403739999995,6.203325127,5.086093301,7.128910599,6.768524128999999
6515,7.602288304,7.761713873,7.150777532,7.577617945,7.863363189,7.810936967000001,7.250586007999999,7.396135016000001
55650,5.524237967,5.343996035,5.862866993,5.840322212,5.9220052910000005,5.7916808170000005,5.891451841,6.604640014
30,6.114800977000001,6.49685764,6.222554442000001,6.407376622999999,7.429865082999999,5.211298468,6.578019341,7.165428413
586,8.755651975,6.901012046,9.993574103,9.866972027000001,7.598300151,7.724946525,8.999293294,8.828500361
2983,5.264383728,5.8475100620000005,7.735631333,6.473508498999999,8.054960164,6.749481745,7.106094526000001,6.801987476
84649,5.587948347,6.888413906,6.098295235,6.3290928289999995,7.926561293,6.555206211000001,6.101502152,6.144702466
56848,6.915524306,7.4800661470000005,5.737248271,6.521745788,6.920040951,6.422795877,6.200233997000001,6.147437719
8776,5.149141346,6.220734107,7.721873062,7.698614292999999,7.563543888,4.890699242,7.89493534,7.7345055170000006
3029,6.272044192999999,4.8619962139999995,5.4296462729999995,4.239050084,5.249225022,4.68972862,4.976171266000001,5.260724401
10402,4.116266973,3.643433295,4.112807794,4.762195772,3.4575582110000003,4.0348147160000005,3.9982577760000004,3.889897514
5476,6.271330521,6.940051346000001,6.881140404,7.34516005,6.775469546,6.3070808220000005,6.272540465,6.755846997000001
6558,7.312920234,5.35865137,5.424763948,6.1213912939999995,6.424248492,6.676906284,6.075162607,5.885583061
4942,11.04862817,9.937408592999999,11.93625999,10.50266317,11.44914048,10.30663633,11.51376632,11.24223247
1606,6.532788256,6.738712709,6.271065294,6.463217812000001,5.981290322,6.977296569,6.83858031,6.595983307000001
4710,6.389139704,6.851274846,8.317899415,6.878333291000001,7.879789886,6.729266537999999,7.997450125,8.287474476
4199,6.7934090529999995,6.945420451,6.723270862000001,6.537593837999999,6.805405389,6.273716384,7.072748042000001,6.691631196
10797,5.930588268999999,4.630699008000001,9.159941749,7.157845552,10.58662603,5.826863828,6.013834374,7.728088303
84679,4.664697982,5.053963244,4.230667443,4.376132516,4.048363216,4.132668271,5.924023507999999,6.025675155
5141,5.582542155,5.166266219,6.09083995,6.397525217999999,5.748299536,5.936211283,4.999360625,5.050558504
6550,4.722565033,4.740689004,5.167917243,5.567452219,4.970368059,5.355163625,4.855845493,4.91688456
2235,5.7007858570000005,5.674135967000001,6.23718842,6.384888223,4.967064347,6.0009126429999995,5.745239804,6.295571161
5214,7.368867319,6.19993228,6.358483531,6.931672998,7.350985217000001,7.38159184,6.379634112000001,6.584840524
3422,6.914120587999999,6.107524431,7.455218257,7.16222666,7.324264278999999,6.439186011,7.609714766000001,6.688119668
8611,7.200748152999999,6.632495917999999,11.70638918,7.104297655,9.965880332000001,7.111281377,8.143113186,8.66412955
5315,6.146535251,6.709051156,5.343931604,6.170487122000001,5.415218704,5.794099775,5.348230057,5.45545726
3421,7.785613636,7.372188051,7.71892904,7.410523769,7.6759121960000005,7.94166989,7.332917498,7.413663887999999
492,5.537528657999999,6.333433596,5.528044727,5.206722075,5.162000358,6.462804076,4.900135781,5.9477781720000005
80347,7.32556727,6.942971629,7.538706447999999,7.889067699,6.89432865,7.766720802999999,7.5940068489999994,8.491913094
2182,4.635433077,5.062923963999999,5.867835241,5.462654207999999,5.528936555,3.4929928830000003,5.000437708,5.891445585
3632,5.820874672,5.952993574,9.153553764,6.838701362,9.621852694,5.552906736000001,7.4502285829999995,7.008523881
51447,5.399923187000001,5.373649703,6.287848928,6.739203221,5.739226726,5.244108412,6.745382416,6.015789482000001
5837,4.770574605,5.57272105,5.139757867,4.898253929,4.706373823,5.77746694,5.369107154,5.713068536000001
10060,8.422698687,5.865597329,7.619050787000001,6.364705202000001,7.66920513,8.04510972,6.997362551,7.031928577
4129,7.654296467000001,7.88336478,8.531929103,8.110292343,7.637442621,7.25196537,8.592371925,9.048151247
483,9.750101252999999,7.369915999,10.93877319,8.385784295,10.13940526,9.08659101,9.327473684,9.490421748
9488,5.087223289,5.351110014,5.347380949,4.354969072,4.949760565,4.750166943,4.800094489,6.18393645
2984,4.234174231,3.8774531480000003,3.8106005460000003,3.894203843,3.693190705,3.6333017119999997,3.453016346,3.47072216
55808,4.589569118,5.744294637,4.823000845,4.27424359,5.7954522079999995,5.302933625,5.1005617160000005,4.06768572
3340,5.2359691989999995,6.090253402,6.029951618999999,5.840322212,4.836456807,5.418369854,5.577339725,5.640324882000001
