,GSM997636,GSM997637,GSM997638,GSM997639,GSM997640,GSM997641,GSM997642,GSM997643,GSM997644,GSM997645,GSM997646,GSM997647,GSM997648,GSM997649,GSM997650,GSM997651,GSM997652,GSM997653,GSM997654,GSM997655,GSM997656,GSM997657,GSM997658,GSM997659,GSM997660,GSM997661,GSM997662,GSM997663,GSM997664,GSM997665,GSM997666,GSM997667
6833,5.431020687999999,5.33176238,5.443354147999999,5.880377879,5.373514827,6.311221002000001,5.4476779120000005,5.89092113,5.366963526,5.324660843999999,5.867118334,5.402753331,5.365906312,5.722892241,5.5629552879999995,5.7111742329999995,5.384155545,5.579715847999999,5.478346162,5.443479741,5.6544394,5.842331465,5.473795272,5.314242192,5.4978112910000005,4.963584975,5.831275227000001,5.354337768,5.51173993,5.325239811,5.637524733999999,5.7008770989999995
221,7.153106092000001,6.510792865,6.514207767,7.478083934,6.603883002000001,7.0070483139999995,7.049638657000001,6.104471501,6.273908132000001,7.4360239770000005,6.455259711,6.20492556,6.49021973,6.573818851,6.41487539,6.330357222999999,6.1444264639999995,5.870973113,6.79162797,6.18661636,6.8112093520000005,7.082228538,6.727356208,6.519528229,6.303627941,6.312520887000001,6.825950353,6.989627446,6.578819713,6.479789017000001,6.495302956000001,6.0703173470000005
79017,10.96729731,9.753103048,11.06504958,7.318317434,9.783478402,9.863212212999999,9.406375107,9.559773706,10.34179914,9.697627438,10.16447794,11.18160319,11.3453435,9.256126601,10.16616647,9.18898,11.850527099999999,9.416031239,9.294840351,9.451220773,10.22325867,9.967550514,10.03751279,9.574406263,10.02205062,10.24768875,10.01355283,9.898881409,10.379196499999999,8.479054077999999,9.941471116,9.101705237000001
8228,8.511609802,7.592922388,7.427511456,7.455610755,8.364561997000001,8.547870822,8.673106462,7.893676822000001,8.079755813,8.053269881,8.672030933,8.627113162999999,7.886664585,7.303036004,8.597204138,8.244283224,7.231923532000001,8.2601534,8.666384585,7.645061902999999,7.3199811839999995,8.389920515,7.430829556,8.278183626,6.4725483960000005,9.049997082,8.399361121,8.00429883,8.183221752,7.443196228,6.99398566,7.834944032
151531,4.268307449,4.684404721,4.318556845,4.372574833,4.025903421000001,4.592443124,4.144083704,4.240082275,4.282470313999999,4.1990525839999995,4.300008313999999,4.369912175,4.228737795,4.303352158,4.307739872,4.463991142,4.152129106,4.183036199,4.1784799989999994,4.631608377,4.279891509,4.341595783,4.577493552,4.74566187,4.419555691,4.038423095,4.615807504,4.526165555,4.440390823,4.532412942,4.385756022,4.72625847
5048,6.986936253,6.25188223,8.029457372000001,5.412171542,7.125068766,5.620856717000001,8.510261689,7.015762986,7.134566977,6.833538691,6.758361858,8.53438157,7.659499883,6.31443009,7.434078092000001,6.330383467000001,8.435537005,7.292013581,7.437209697,6.218572787,7.128377236,7.551460873,7.579298269,6.805776064,8.318070661,7.663251573999999,6.704594823,5.85104446,7.6673500610000005,7.154762882999999,6.744104481,6.074643645
4843,3.887162084,4.304381524,4.394517558,3.9821728239999996,4.014784523,4.472178854,3.8946451910000004,4.315493503,4.015086489,4.162078833,4.003657304,3.949277275,3.9855315360000003,4.112908372,4.050756449,3.903709519,4.101695933999999,4.158684524,3.982271245,4.016290701,3.8732345710000002,4.107571285,3.921773697,3.66549418,3.767640745,4.072768185,4.184974095,3.912054041,3.832143832,3.9219826980000003,4.057621265,3.860683851
9058,5.225864716,5.1085037710000005,5.021892191,5.901817997999999,5.383656808,5.058433822,5.346477999,5.19543557,5.094259116,5.211189826,5.249408613,5.214471298,5.2907840760000004,5.116265049,5.460797959,5.2162011669999995,5.238100255,5.102631002,5.151753187,5.152498308,5.307135155,5.205161207,5.0063230469999995,5.616487147000001,5.081773326,4.943741776,5.391876247999999,5.272357369,5.329905313,6.099643417,5.068172107,5.083721754
8277,5.882647903,6.371312911,5.31119583,6.160785365,5.739049147,6.421250185,7.558847815,8.936184244,9.752439472,7.31596295,5.382066726000001,5.300502159,5.014629587,6.172898063,4.843602666000001,6.914954313,9.541392698,5.738702611,9.00402274,5.636320533999999,5.784337702,5.734249779,7.516981754,5.65398422,5.439528146000001,4.889011751,5.92045441,7.099369725,5.539830952000001,5.233564145,8.885139924,9.292608228999999
9091,4.546205693,4.688441172,4.909183152,4.976744385,4.979805933,4.849865361,4.950085645,5.14927802,4.960003749,4.9456495369999995,4.755992727,4.6181517,4.877728247,4.71378828,4.619438307,4.73557249,4.934125299,4.787387806,4.424978531,4.749454233,4.745764292,4.388809891,4.952641659,4.710398383999999,4.5249158110000005,5.303165723999999,4.701250933,4.842302972,4.526878642,5.1027584269999995,4.390080883,4.538091074
65220,7.348324916,8.123169519,8.418609015,7.8851379139999995,8.860560322000001,8.513667521,9.236460579,8.383594964,9.122776762,7.019962157,8.136856688,8.131706186,7.43828786,7.713354379,9.003018425,8.925516205,7.490886312000001,6.989239339,7.411965583,9.509076375,7.610105547000001,6.6044629939999995,8.308936272,8.564120081,6.35801831,8.592174197,7.1213784239999995,8.134166686,7.898411599999999,8.72414532,8.182227187999999,8.409079956
