,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000263093,0.06,0.1,0.04
ENST00000546234,0,0,0
ENST00000354728,0,0,0
ENST00000581378,0.24,0.2,0.85
ENST00000540688,0.4,0,1.27
ENST00000602619,0.11,0.13,0.08
ENST00000587721,0,0,0
ENST00000498772,0.03,0,0
ENST00000543953,0.42,0.88,1.46
ENST00000591899,45.77,28.79,39.19
ENST00000573809,0.04,0,0.12
ENST00000354624,2.89,0.72,0.25
ENST00000295269,0.52,0.63,0.74
ENST00000608958,0.22,0.91,0.47
ENST00000295266,0.04,0,0
ENST00000540973,0,0.04,0
ENST00000417689,0.54,1.24,0.6
ENST00000479383,0,0.02,0
ENST00000360971,0.11,0.38,0.14
ENST00000587091,14.18,17.16,14.92
ENST00000311148,0.78,2.32,1.51
ENST00000273588,4.4,1.83,9.42
ENST00000370852,0,0.25,0
ENST00000370850,0,0,0
ENST00000590203,0.72,0.55,0.28
ENST00000594353,0.21,0,0
ENST00000377860,0.56,0.89,0.18
ENST00000430992,0,0.04,0
ENST00000375514,2.16,2.28,0
ENST00000569956,58.61,44.98,33.41
ENST00000598111,0,0,0
ENST00000457447,0.12,0.5,0.28
ENST00000452124,1.5,5.26,2.67
ENST00000427592,0.17,0.18,0.33
ENST00000341517,0,0.12,0
ENST00000515585,0,0,0
ENST00000427849,0,0,0
ENST00000569148,0.91,0,0.53
ENST00000398229,0,0,0.11
ENST00000367728,0.07,0.2,0.28
ENST00000423035,2.59,9.11,1.67
ENST00000402238,0.04,0,0.03
ENST00000559479,0,0,0
ENST00000511969,0,0.18,0.21
ENST00000547332,0,0.09,0.16
ENST00000355938,71.26,51.47,75.41
ENST00000199936,0,0.01,0.01
ENST00000441967,5.89,4.21,1.26
ENST00000507475,0,0.13,0
ENST00000497424,1.71,2.08,1.9
ENST00000399098,1.48,1.16,0.57
ENST00000457039,0,0,0
ENST00000356708,85.81,60.36,131.81
ENST00000559618,0,0,0
ENST00000521603,0,0,0
ENST00000310544,0.13,0,0.09
ENST00000445065,0,0,0
ENST00000548820,0.18,0.57,0.56
ENST00000405481,0.48,0.86,0.05
ENST00000506796,0,0,0
ENST00000323205,1.07,4.36,1.69
ENST00000301466,0,0,0
ENST00000371321,0,0,0
ENST00000381608,0,0,0.02
ENST00000426645,0,0,0
ENST00000525270,0,0.06,0
ENST00000453332,0,0,0
ENST00000563792,0.14,0.32,0.3
ENST00000270776,38.96,42.6,70.11
ENST00000369494,0.11,0.24,0.73
ENST00000469520,0.71,1.67,0.64
ENST00000369496,18.84,0.64,17.62
ENST00000361175,4.99,1.05,5.18
ENST00000566454,1.49,2.37,1.95
ENST00000573368,0,0,0
ENST00000561338,0.01,0.36,0.01
ENST00000394237,0,0,0
ENST00000507295,0,0,0
ENST00000537237,0.3,0.41,0.39
ENST00000467578,0.5,0.13,0.34
ENST00000379270,98.69,38.35,91.05
ENST00000404535,15.78,14.5,5.95
ENST00000409813,0.02,0.08,0
ENST00000404532,0.13,0.47,0
ENST00000397676,8.32,7.58,7.21
ENST00000488594,0,0,0
ENST00000563422,1.55,2.4,0.9
ENST00000287713,14.68,33.87,0.32
ENST00000361392,3.26,4.45,9.58
ENST00000469787,0,0,0
ENST00000361390,2817.1,2827.83,4393.17
ENST00000343002,0.07,0,0
ENST00000359492,0,0.48,0.06
ENST00000359142,2.4,5.16,0.62
ENST00000359149,0.05,1.41,0.14
ENST00000526384,0,0,0
ENST00000444338,0,0.91,0.73
ENST00000393808,96,52.45,24.35
ENST00000444334,0,0.26,0
ENST00000571514,0.44,0.05,0.3
ENST00000393805,2.96,2.75,0.31
ENST00000509291,0,0,0.35
ENST00000334444,1.73,3.32,2.43
ENST00000488775,4.85,4.11,6.1
ENST00000576052,0,0,0.05
ENST00000511774,0.43,0.56,0.45
ENST00000505294,0.18,0.12,0.06
ENST00000477593,6.09,7.9,7.41
ENST00000290573,0.77,2.13,4.25
ENST00000397500,0.66,1.16,0.62
ENST00000306031,0.46,0.54,0.09
ENST00000350842,0,0,0
ENST00000437657,0,0.32,0.47
ENST00000573076,0,0.03,0.03
ENST00000532462,0.08,0,1.46
ENST00000256997,23.58,17.25,15.13
ENST00000531040,0,0,0
ENST00000585259,0.41,0.36,0.94
ENST00000551936,0,0,0
ENST00000514690,0,0.02,0.12
ENST00000395633,35.9,15.38,19.4
ENST00000528723,0.23,0.18,0.18
ENST00000478469,0.24,0.57,0.43
ENST00000530319,0,0,0
ENST00000271640,8.15,15.92,9.57
ENST00000540767,0,0.09,0.03
ENST00000562170,0.11,0.08,0
ENST00000567411,13.67,8.69,11.14
ENST00000567414,0.21,0,0.05
ENST00000285850,2.62,0.35,0.32
ENST00000455364,0,0,0.06
ENST00000219322,0,0,0
ENST00000396189,0,0,0
ENST00000396182,0.25,0,0.11
ENST00000392179,4.02,10.79,26.75
ENST00000378637,0.12,1.07,0.09
ENST00000570646,11.15,4.25,5.02
ENST00000429697,0.39,0.94,0.49
ENST00000331531,0.11,0.11,0.19
ENST00000572785,0.12,0,0
ENST00000554461,0,0,0
ENST00000492597,0.87,1.71,1.72
ENST00000439388,0.11,0.24,0
ENST00000542946,0.94,2.21,1.54
ENST00000542945,0.64,1.25,1.95
ENST00000439380,0,0,0.05
ENST00000542942,0,0.03,0
ENST00000549221,0,0,0
ENST00000471289,0.06,0.12,0.15
ENST00000588952,0.22,0.36,0.47
ENST00000475447,0,0,0
ENST00000448044,12.08,5.79,12.3
ENST00000475449,0.1,0.05,0.08
ENST00000506245,0,0,0
ENST00000427699,0.04,0,0
ENST00000521381,20.39,83.73,11.27
ENST00000304081,0,0,0
ENST00000473032,0.05,0,2.89
ENST00000341184,7.89,12.06,6.16
ENST00000471753,3.05,7.71,3.03
ENST00000537830,0,0.62,0.54
ENST00000541412,2.55,1.84,2.54
ENST00000563226,0.05,0.12,0
ENST00000553284,0,0,0
ENST00000568943,0.01,0,0
ENST00000396721,0.01,0.03,0.01
ENST00000383579,0.01,0.03,0
ENST00000226253,12.73,5.21,3.36
ENST00000298628,0.08,0.27,0.08
ENST00000594164,3.22,1.79,6.35
ENST00000599188,0,0,0
ENST00000591403,0,0,0
ENST00000366911,0.9,1.16,0.84
ENST00000374830,0,0,0
ENST00000374832,0,0,0
ENST00000456310,0,0,0.1
ENST00000505468,0.05,0.7,0.04
ENST00000528097,2.96,4.02,1.11
ENST00000409031,1.35,1.96,1.24
ENST00000409032,0.1,0,0.04
ENST00000340855,42.39,63.61,66.91
ENST00000591660,0,0,0
ENST00000590138,0,0.06,0
ENST00000490502,0,0,0.09
ENST00000590132,0,0,0
ENST00000490504,0,0,0.08
ENST00000418277,0.72,0.17,1.4
ENST00000507590,0,0.03,0
ENST00000483910,5.97,0.86,1.83
ENST00000336733,9.07,10.19,5.72
ENST00000409155,29.73,15.68,18.4
ENST00000372574,0,0.03,0.03
ENST00000342187,0,0.09,0.19
ENST00000446278,0,0,0
ENST00000367028,0,0,0
ENST00000559865,0,0,0.03
ENST00000339600,81.43,49.74,91.86
ENST00000512593,0,0,0
ENST00000426255,0.03,0,0.09
ENST00000443831,6.15,0.25,0.82
ENST00000443835,0.57,0.53,1.34
ENST00000309879,4.18,3.62,2.83
ENST00000532250,0,0.07,0.29
ENST00000593115,0,0.1,0.1
ENST00000565318,0.06,0.05,0.21
ENST00000560147,0,0.34,0.06
ENST00000369823,0.15,0,0
ENST00000423209,0,0,0
ENST00000559287,3.08,1.77,2.18
ENST00000270349,0.01,0,0
ENST00000423207,18.95,43.1,7.66
ENST00000399402,2.94,6.02,5.67
ENST00000353187,0.72,0.97,0.79
ENST00000399408,0,0.19,0
ENST00000405342,1.52,2.01,1.14
ENST00000405340,0.17,0.7,0.31
ENST00000373023,0.15,0.44,0.57
ENST00000373021,0.23,0.42,0.4
ENST00000373026,0,0,0
ENST00000393164,2.44,4.43,0.73
ENST00000373024,0.47,1.02,1.54
ENST00000537557,0,0.01,0
ENST00000520113,0,0,0.01
ENST00000425753,16.2,11.87,11.87
ENST00000504028,0,0,0.09
ENST00000370631,8.44,8.09,4.4
ENST00000440338,0,0,0
ENST00000570076,0,0.06,0
ENST00000504024,0,0,0
ENST00000356116,4.14,0.86,0.07
ENST00000559132,0,0.05,0
ENST00000210444,17.13,19.17,16.42
ENST00000545417,0.29,0,0.3
ENST00000519317,0,0.09,0
ENST00000452749,0.08,0.4,1.32
ENST00000438979,0,0.09,0.1
ENST00000584061,0.05,0,0
ENST00000509085,0,0,0
ENST00000549767,0.12,0.3,0.3
ENST00000549941,0,0,0.05
ENST00000514184,0.33,0,0.16
ENST00000274813,20.78,16.16,20.62
ENST00000544327,0.77,1.16,1.54
ENST00000554739,0.05,0.14,0.33
ENST00000554731,0,0.06,0.17
ENST00000592573,0,0.15,0
ENST00000589700,0,0,0
ENST00000514192,0,0.19,0.15
ENST00000526712,0,0,0
ENST00000422400,0.17,0,0.06
ENST00000462696,0.05,0.06,0.05
ENST00000422156,0.15,0.27,0.67
ENST00000588033,0,0,0
ENST00000531520,0,0,0.03
ENST00000554085,0.08,1.04,0.36
ENST00000326010,0.05,0.06,0.03
ENST00000396533,0,0,0
ENST00000372372,0,0,0
ENST00000413164,0,0,0
ENST00000372374,0,0,0
ENST00000348729,0.06,0.16,0.08
ENST00000378938,0,0.04,0
ENST00000548549,0,0,0.09
ENST00000546788,0,0.13,0.06
ENST00000218516,7.8,4.73,5.25
ENST00000495022,0.07,0.04,0.03
ENST00000562997,0.4,0.63,0.16
ENST00000546689,0,0.02,0
ENST00000393340,2.44,2.7,1.21
ENST00000539306,0,0,0
ENST00000392341,0.72,0.18,0.11
ENST00000303617,0.06,0.29,0.22
ENST00000451102,19.2,8.12,9.7
ENST00000573636,0,0.09,0.14
ENST00000430013,0.72,0.16,0.23
ENST00000372366,0,0,0.08
ENST00000517429,0,0.02,0
ENST00000474459,0.04,0.47,0.25
ENST00000378927,1.31,1.23,2.06
ENST00000315467,36.07,39.18,44.35
ENST00000510340,0.06,0.22,0.25
ENST00000550143,9.12,5.67,3.2
ENST00000587707,0.16,0.79,0.11
ENST00000543975,0,0,0.09
ENST00000372362,0,0,0
ENST00000475276,0.41,0.65,1.1
ENST00000316519,3.86,4.28,4.07
ENST00000603563,0,0,0.02
ENST00000546330,0,0,0
ENST00000236959,21.1,24.74,30.36
ENST00000519964,0.75,0.18,0.41
ENST00000538330,0.01,0,0.01
ENST00000360954,0.24,0.39,0.17
ENST00000417661,0,0,0
ENST00000433417,0.86,1.47,0.76
ENST00000533349,0.04,0.13,0
ENST00000566897,1.59,0.26,0.41
ENST00000370833,0.6,2.27,1.25
ENST00000370834,4.34,2.55,10.17
ENST00000370836,2.58,8.36,7.81
ENST00000594621,0,0,0
ENST00000538256,0.15,0.11,0.03
ENST00000412035,0,0,0
ENST00000375530,3.42,10.34,11.26
ENST00000375537,16.2,28.06,18.67
ENST00000609981,0.03,0.03,0.3
ENST00000427865,0.88,0.73,0.66
ENST00000323997,0.22,0.51,1.48
ENST00000344720,0.08,0.04,0.03
ENST00000504568,0,0,0.38
ENST00000259727,7.34,1.69,1.7
ENST00000535225,0.21,0.08,0.17
ENST00000560332,0,0,0
ENST00000393431,0.6,0.21,0.44
ENST00000564537,0.17,0.23,0.7
ENST00000577106,0.15,0.22,0.65
ENST00000230792,8.39,9.31,4.38
ENST00000604935,0,0,0
ENST00000343975,2.4,5.35,0.84
ENST00000432715,0.3,0.17,1.28
ENST00000529364,0,0,0
ENST00000371899,3.51,4.25,2.57
ENST00000432718,0.06,0.09,0.06
ENST00000529363,0.04,0,0
ENST00000419594,1.5,0.41,0.16
ENST00000528374,0.47,0.1,0.22
ENST00000528370,0.12,0,0
ENST00000441948,0.57,0.55,0.43
ENST00000205402,8.49,8.92,7.63
ENST00000504900,0.09,0,0
ENST00000300060,1.08,0.45,0.83
ENST00000572887,0,0,0.1
ENST00000299964,0.08,0.08,0.11
ENST00000572882,0,0,0
ENST00000427315,0,0,0
ENST00000590832,0,0.18,0
ENST00000323224,0.18,0.48,0.18
ENST00000394026,2.89,2.2,2.87
ENST00000522826,3.53,1.26,0
ENST00000381626,0,0.09,0
ENST00000525291,0.5,0.16,0
ENST00000568141,0,0,0
ENST00000264663,3.05,5.39,3.93
ENST00000372969,59.7,34.54,75.74
ENST00000361624,15784.24,9880.79,15121.73
ENST00000290429,2.59,3.38,3.14
ENST00000373698,0.31,0.13,0.42
ENST00000538927,0.9,1.89,1.23
ENST00000216962,139.06,89.4,109.05
ENST00000583564,0.09,0,0.4
ENST00000335244,0,0,0
ENST00000371045,46.45,48.11,3.23
ENST00000318445,4.67,1.82,2.49
ENST00000335715,0.28,0,0.18
ENST00000571288,0.31,0.92,0.86
ENST00000571341,0,0,0.03
ENST00000481290,0,0,0.04
ENST00000418040,0.18,0.52,1.36
ENST00000280701,4.51,7.65,6.23
ENST00000280706,0.06,0.15,0
ENST00000280704,0,0,0
ENST00000164139,2.54,1.03,0.44
ENST00000568368,0.04,0.04,0.04
ENST00000576941,0.08,0,0.13
ENST00000566786,0,0,0
ENST00000508270,0,0,0
ENST00000367879,4.26,8.27,7.2
ENST00000444355,0,0.14,0.07
ENST00000357457,0.2,0.45,0
ENST00000352133,0.58,1.01,0.44
ENST00000544404,0.31,0.71,1.02
ENST00000485198,0,0,0
ENST00000544408,1.93,3.93,3.26
ENST00000435520,0.31,0.35,0.26
ENST00000536784,0,0.24,0
ENST00000348502,5.63,5.34,7.09
ENST00000514500,0,0,0
ENST00000548150,0.56,1.14,1.54
ENST00000438018,0,0,0
ENST00000441319,0.06,0,0
ENST00000532440,0.2,0.15,0
ENST00000545168,0.06,0.08,0.06
ENST00000280871,8.23,15.54,1.15
ENST00000465370,0.28,0.83,0.44
ENST00000567784,0.57,0.41,0.99
ENST00000555634,0.5,6.43,0
ENST00000580036,0,0,0
ENST00000556985,0,0.13,0.11
ENST00000530335,0.09,0.58,0.1
ENST00000374479,9.01,3.66,7.92
ENST00000530337,0.17,0.69,0.24
ENST00000395619,0,0.28,0.09
ENST00000358298,0,0,0
ENST00000465010,0,0.06,0
ENST00000393750,0,0,0
ENST00000483043,0.01,0.08,0.06
ENST00000474594,0.47,0.74,0.15
ENST00000565464,0.12,0.4,0.58
ENST00000455341,0,0,0
ENST00000219343,0.21,1.55,0.54
ENST00000541043,9.7,8.87,3.63
ENST00000570622,0.25,0.12,0.51
ENST00000295448,6.41,6.11,3.69
ENST00000403208,0,0,0
ENST00000442997,7.84,4.07,6.72
ENST00000545755,0.32,0,0.17
ENST00000356327,1.23,0.19,0.56
ENST00000250111,228.56,120.11,197.7
ENST00000450547,0,0,0
ENST00000337664,3.57,9.71,2.4
ENST00000309851,11.83,5.43,5.11
ENST00000542969,0,0,0
ENST00000344119,0,0,0.03
ENST00000358473,0.39,0.2,0.38
ENST00000417271,0.52,0.56,0.15
ENST00000272286,0.01,0.01,0.09
ENST00000257979,0.04,0.18,0.07
ENST00000469105,3.18,0.97,2.25
ENST00000525900,78.37,43.47,26.3
ENST00000503816,0.01,0,0.05
ENST00000475462,0,0,0
ENST00000229563,63.27,43.56,45.28
ENST00000308982,13.78,10.22,6.49
ENST00000444906,0,0,0
ENST00000444905,0,0,0
ENST00000521360,0,0,0
ENST00000444903,3.01,0.92,2
ENST00000517367,0.54,0.85,0.41
ENST00000517366,0.12,0.06,0
ENST00000477914,0,0,0
ENST00000318201,1.4,1.29,0.15
ENST00000428497,0,0,0
ENST00000355749,27.29,19.86,23.74
ENST00000272065,22.24,23.58,28.71
ENST00000537814,0.13,0.13,0
ENST00000425813,0,0,0
ENST00000471770,0.66,0.62,0.38
ENST00000425817,0.53,0.64,0.35
ENST00000425816,0,0,0
ENST00000440591,0.19,0.29,0.24
ENST00000226279,6.1,3.63,11.67
ENST00000525845,0,0,0
ENST00000554271,1.02,1.87,2.82
ENST00000421312,0,0,0
ENST00000419959,2.87,2.55,1.38
ENST00000419955,0.35,0.58,0
ENST00000424499,0,0.28,0.08
ENST00000400519,0.15,0.41,0.72
ENST00000400518,0.15,0.15,0.13
ENST00000590488,0,0,0
ENST00000427411,0,0,0
ENST00000590334,0.75,0.43,0.81
ENST00000373110,0.43,0.47,0.29
ENST00000427419,0,0,0
ENST00000468210,0.45,0.29,0.23
ENST00000525593,4.93,3.78,5.55
ENST00000232375,3.31,7.19,5.14
ENST00000410056,0,0.01,0
ENST00000534230,0.01,0.32,0.45
ENST00000539864,0,0.04,0
ENST00000409059,0,0,0
ENST00000539869,0.03,0.12,0.17
ENST00000572977,0.03,0.07,0.02
ENST00000354234,1.31,2.2,2.19
ENST00000506269,0,0.04,0.04
ENST00000590151,11.09,1.27,9.66
ENST00000409390,0,0,0.07
ENST00000590156,1.01,1.5,1.71
ENST00000366647,21.28,16.99,27.78
ENST00000407983,0.05,0.42,0.18
ENST00000507026,1.21,2.61,0.91
ENST00000372556,3.31,0.72,2.42
ENST00000349555,1.1,1.34,0.88
ENST00000409134,17.94,23.27,1.28
ENST00000308064,8.34,4.84,2.4
ENST00000451903,1.67,9.76,1.98
ENST00000556737,0,0,0
ENST00000555563,0,0.32,0.63
ENST00000437849,0,0,0
ENST00000437841,0.08,0.03,0.17
ENST00000513628,3.48,2.69,2
ENST00000481359,0,0,0
ENST00000512866,0.53,1.32,1.31
ENST00000540149,0.35,0.11,0.05
ENST00000242375,0.13,0,0
ENST00000426233,2.44,0.28,0
ENST00000443810,0,0,0.04
ENST00000515668,0,0.12,0.21
ENST00000593353,0,0,0.1
ENST00000551607,0,0,0
ENST00000488965,0.16,0.19,0.85
ENST00000523858,0,0,0
ENST00000513998,0,0,0
ENST00000272067,7.78,6.45,8.46
ENST00000397722,2.11,5.04,1.79
ENST00000523854,0,0,0
ENST00000523855,0,0,0.03
ENST00000373791,2.41,3.87,4.7
ENST00000460843,6.17,12.2,10.86
ENST00000589781,1.04,0.3,1.4
ENST00000593686,0.06,0,0
ENST00000381545,0,0,0
ENST00000367113,0.46,0.16,0.22
ENST00000367112,0.69,0.53,0.58
ENST00000261170,0.01,0.02,0.05
ENST00000391865,48.24,28.58,17.96
ENST00000377891,0.09,1.71,1.33
ENST00000377890,0.41,0.21,0.08
ENST00000369840,0.31,0.26,0
ENST00000560164,0,0,0
ENST00000327505,2.22,6.66,1.12
ENST00000569177,1.18,1.2,0.85
ENST00000503258,0.11,0.06,0.03
ENST00000482954,0,0.12,0.11
ENST00000592885,1.47,0.52,0.35
ENST00000482950,0,0,0
ENST00000234454,12.46,11.97,4.86
ENST00000405364,0.11,0.07,0.13
ENST00000538183,4.37,8.52,6.72
ENST00000458193,0,0.12,0
ENST00000334456,0.78,2.46,0.3
ENST00000480559,0,0,0
ENST00000608620,0,0,0
ENST00000396705,215.05,150.21,182.56
ENST00000558987,0.8,1,2.42
ENST00000570013,0.11,0.13,0.13
ENST00000570016,0,0,0
ENST00000494208,0.12,0.31,0.07
ENST00000581672,0.15,0.1,0
ENST00000511108,2.03,1.25,0.16
ENST00000506855,0.53,0.28,0.17
ENST00000438952,5.79,3.63,5.44
ENST00000461461,2.06,2.7,3.01
ENST00000225929,4.62,5.42,4.46
ENST00000225927,13.25,9.74,13.01
ENST00000525419,0.18,0,0.34
ENST00000519374,51.05,21.66,22.55
ENST00000301634,0.78,1.23,3.07
ENST00000558405,0,0.03,0.01
ENST00000302586,14.66,7.9,13.88
ENST00000549928,0,0.03,0
ENST00000476833,0.09,0.05,0
ENST00000476832,1.54,2.79,4.95
ENST00000431707,0.16,0.29,0
ENST00000581516,0.99,1.41,2
ENST00000581513,0.42,0,0.33
ENST00000592228,0.23,0.14,0.29
ENST00000503641,0.43,0.19,0.77
ENST00000581518,0.9,1.69,0.79
ENST00000361453,4569.19,3371.2,5038.46
ENST00000566644,1.59,1.71,1.44
ENST00000589727,0,0,0
ENST00000330029,34.52,23.77,31.99
ENST00000541752,0.68,0.2,0.68
ENST00000526737,0,0,0.13
ENST00000537579,0,0,0
ENST00000388854,9,13.46,4.42
ENST00000393103,9.46,3.95,11.16
ENST00000532053,0,0,0
ENST00000532050,0.15,0.15,0.53
ENST00000218758,0.37,0,0
ENST00000328306,3.56,12.25,3.42
ENST00000471180,0.39,0.65,0.17
ENST00000396553,2.09,0.94,1.26
ENST00000377799,0.58,0.78,1.12
ENST00000413140,0.41,0.23,0.18
ENST00000372310,17.27,5.36,30.3
ENST00000283646,3.65,6.43,4.86
ENST00000536224,0.02,0,0
ENST00000372315,0.03,0.06,0.01
ENST00000396554,1.03,0.04,0.79
ENST00000491493,0.05,0,0.33
ENST00000461077,0,0,0
ENST00000348706,2.78,1.17,1.08
ENST00000419721,0,0,0
ENST00000602477,0.05,0.05,0.03
ENST00000437282,0,0,0
ENST00000517628,0,0,0.04
ENST00000291839,22.19,14.85,10
ENST00000439533,0.13,0.42,0.63
ENST00000453412,0,0.03,0.14
ENST00000432270,0,0,0
ENST00000352909,0.06,0.1,0
ENST00000392414,0.01,0,0.01
ENST00000571874,24.42,19.05,50.78
ENST00000603302,0.05,0.08,0.17
ENST00000603300,0.05,0.03,0
ENST00000566256,0.05,0.06,0.11
ENST00000397728,2.33,1.51,1.93
ENST00000478341,0.78,1.12,0.76
ENST00000546277,0.04,0,0.03
ENST00000438227,0,0,0
ENST00000354764,4.79,8,2.47
ENST00000589189,0.59,0.92,0.34
ENST00000538689,1.52,2.67,1.99
ENST00000470360,0,0,0
ENST00000439288,0,0.07,0.1
ENST00000547741,0.42,0.83,0.35
ENST00000371250,43.81,17.51,95.52
ENST00000314752,4.88,2.62,1.65
ENST00000311322,52.94,33.55,23.41
ENST00000447275,0,0,0
ENST00000530103,0,0.15,0.06
ENST00000505764,0,0.17,0
ENST00000546319,0,0,0
ENST00000538353,0,0.08,0.07
ENST00000586988,0,0,0
ENST00000373409,0,0,0
ENST00000536256,0.08,0,0.21
ENST00000460213,0,0,0
ENST00000535552,0.05,0.03,0
ENST00000233072,0.43,0.11,0
ENST00000394955,2.82,1.65,1.65
ENST00000285393,0.22,0.41,0.2
ENST00000360937,0,0.01,0
ENST00000370214,16.09,9.46,26.46
ENST00000396594,6.14,10.99,5.47
ENST00000389817,7.29,4.84,1.36
ENST00000370812,4.39,3.13,7.28
ENST00000466323,0.68,1.51,1.04
ENST00000563146,0,0,0
ENST00000532829,4.61,1.1,12.28
ENST00000569991,0,0.01,0
ENST00000470753,0.52,0.2,0.91
ENST00000337343,0,0.12,0.02
ENST00000535889,0,0.01,0
ENST00000366093,0.71,1.65,1.52
ENST00000541599,0,0.18,0.21
ENST00000404390,0,0,0
ENST00000587858,0,0.05,0
ENST00000570388,0.5,0.52,0.31
ENST00000354880,16.39,8.31,11.72
ENST00000400090,2.1,2.52,2.32
ENST00000400093,9.54,11.55,8.83
ENST00000570836,0,0,0
ENST00000400099,2.61,1.63,5.07
ENST00000506521,0.07,0,0.54
ENST00000533483,0,0,0
ENST00000356487,13.3,11.32,25.08
ENST00000356489,0.67,0.45,2.65
ENST00000373891,0.51,0.66,0.48
ENST00000601355,0.35,0.38,0.68
ENST00000457470,0,0,0
ENST00000426422,0.15,0.36,0.2
ENST00000534932,0,0.02,0
ENST00000528359,0,0,0
ENST00000398090,0,0,0
ENST00000559386,5.82,4.45,6.89
ENST00000436701,0.11,0,0
ENST00000305031,0.26,0.24,0.09
ENST00000310271,5.26,2.17,3.28
ENST00000547198,0,0,0
ENST00000253799,0.13,0.12,0.77
ENST00000402321,0.69,0.21,0.16
ENST00000415899,0.77,2.38,0.56
ENST00000450982,0,0,0
ENST00000574447,0,0,0.11
ENST00000284110,0.37,0.13,0
ENST00000522840,0,0,0
ENST00000291892,0.03,0.16,0.08
ENST00000426689,0,0,0
ENST00000522849,0.13,0.2,0.07
ENST00000264649,23.31,28.43,16.14
ENST00000332272,1.05,0.54,0.75
ENST00000255226,0.46,0.55,0.42
ENST00000581287,0.32,0.52,0.62
ENST00000462163,0,0,0
ENST00000592767,0,0,0
ENST00000551430,0.36,0.38,0.12
ENST00000508780,0.25,0,0.61
ENST00000529751,0,0.03,0
ENST00000490316,0.63,1.24,2.01
ENST00000422307,0.08,0.09,0.04
ENST00000409858,2.96,2.91,0.78
ENST00000587328,0,0.72,0.77
ENST00000398104,41.26,16.37,9.83
ENST00000409851,0.68,2.19,1.37
ENST00000415099,0,0,0
ENST00000543695,0,0,0
ENST00000504963,0.67,1.47,1.14
ENST00000359107,1.94,1.6,2.04
ENST00000447878,1,0.39,0
ENST00000548310,0.53,0.17,0.2
ENST00000447877,0,0,0
ENST00000547732,0,0,0
ENST00000454446,0,0.09,0
ENST00000402937,1.3,2.3,1.47
ENST00000519745,0,0,0
ENST00000437073,0.06,0,0
ENST00000296412,40,45.74,62.44
ENST00000544428,0.29,0.03,0.68
ENST00000460985,0,0,0.16
ENST00000367851,0,0,0
ENST00000302913,0.02,0.18,0.07
ENST00000235345,2.12,2.58,3.81
ENST00000570391,0.65,0.44,0.22
ENST00000519129,0,0,0
ENST00000526691,0.02,0,0.08
ENST00000546488,0.27,0.06,0
ENST00000589256,0.21,0,0.16
ENST00000545511,0.11,0.29,0.25
ENST00000421879,0.13,0.34,0.24
ENST00000293599,0,0.05,0.04
ENST00000334029,12.1,4.33,2.6
ENST00000005374,0.12,0.06,0.11
ENST00000423431,0.41,0.68,0.19
ENST00000423430,0.15,0.39,0.01
ENST00000569433,0.39,0.48,0.14
ENST00000572639,0,0.35,0
ENST00000393734,0.12,0.16,0.23
ENST00000544020,0.68,0.48,0.26
ENST00000549049,0,0.01,0
ENST00000455320,0,0.03,0
ENST00000455323,0.51,0.17,0.72
ENST00000469299,0,0,0.82
ENST00000528992,0,0,0
ENST00000485713,0.17,0.07,0.02
ENST00000503786,0.13,0.29,0.07
ENST00000448666,0,0,0
ENST00000454335,0.17,0.44,0.13
ENST00000445291,0,0.07,0
ENST00000514525,0,0,0
ENST00000545774,0.2,0.33,0.07
ENST00000494544,1.9,1.34,0.55
ENST00000572265,0,0.03,0
ENST00000337130,1.33,0.4,1.38
ENST00000402064,4.27,4.09,1.63
ENST00000495767,0.05,0.2,0
ENST00000511912,2.48,3.19,1.07
ENST00000549590,0.41,0.51,0.63
ENST00000255427,7.46,0.8,0.06
ENST00000417251,0,0,0
ENST00000588913,0.06,0.26,0.13
ENST00000558367,0.04,0.04,0.04
ENST00000307300,0.09,0.29,0.22
ENST00000600144,0,0,0.04
ENST00000539743,0,0,0
ENST00000294016,3.71,3.93,3.8
ENST00000582744,1.57,2.14,3.67
ENST00000424301,0.34,0.26,0.03
ENST00000582743,1.75,0.47,2.03
ENST00000477665,0.25,0.25,0.26
ENST00000265896,12.11,19.87,8.72
ENST00000479771,4.12,0.54,0.25
ENST00000586840,0,0.05,0
ENST00000559581,0.43,0.37,0.55
ENST00000550620,0.13,0.46,0.58
ENST00000323744,12.93,8.55,9.64
ENST00000479952,0,0,0
ENST00000583839,0.31,0,0
ENST00000528509,0.16,0.44,0.58
ENST00000557487,13.85,17.07,7.84
ENST00000013034,0.48,0,0.44
ENST00000392066,7.26,12.88,5.27
ENST00000525827,0,0,0
ENST00000372121,0,0.01,0
ENST00000568907,0.09,0.07,0
ENST00000226299,2.37,3.43,5.83
ENST00000416707,3.95,5.15,7.67
ENST00000263440,2.53,2.62,4.13
ENST00000395497,0.09,0.23,0.14
ENST00000395496,0.13,0,0.25
ENST00000265471,23.62,21.02,26.58
ENST00000597477,1.61,0,0.73
ENST00000562484,0,0.11,0
ENST00000453959,0.18,0.13,0.54
ENST00000493135,0,0.01,0
ENST00000498653,4.58,4.06,5.46
ENST00000539335,0,0,0
ENST00000574638,0,0.14,0.14
ENST00000361980,0,0,0
ENST00000342945,0,0,0
ENST00000415413,0,0,0
ENST00000435340,0.73,0.6,0.42
ENST00000556287,0.15,0.31,0.32
