,TCGA-E1-5319,TCGA-CS-6668,TCGA-IK-7675
ENST00000416293,0.34,0.07,0.22
ENST00000514438,0.04,0.14,0
ENST00000340059,0,0.02,0
ENST00000416298,0.16,0,0.07
ENST00000321599,23.66,47.32,23.53
ENST00000538782,3.42,2.04,5.46
ENST00000555709,0,0.71,0
ENST00000441403,0.07,0.37,0.11
ENST00000222553,15.16,10.65,13.21
ENST00000474027,0.03,0,0
ENST00000510531,0,0.03,0
ENST00000555702,0,0.33,0.12
ENST00000377675,0,0,0
ENST00000466590,0,0,0
ENST00000588734,0.32,0.19,0.29
ENST00000466596,0,0.01,0
ENST00000556244,1.3,0.7,0.98
ENST00000582160,7.75,5.43,4.02
ENST00000002165,11.03,5.74,20.65
ENST00000589467,0,0,0
ENST00000530750,0,0,0
ENST00000429525,0,0,0
ENST00000414928,0,0,0
ENST00000538432,0.44,1.22,1.98
ENST00000521967,0.01,0.09,0.03
ENST00000552959,0.18,0.72,0.63
ENST00000572080,0.05,0.16,0.46
ENST00000358186,0.63,1.04,0.66
ENST00000467132,0.28,0.03,0.07
ENST00000377414,0.02,0.09,0.43
ENST00000329841,0.08,0.27,0.05
ENST00000322348,0.11,0.08,0.27
ENST00000461867,0,0,0
ENST00000376238,0.13,0.06,0.04
ENST00000322347,7.87,5.7,5.58
ENST00000594038,0,0,0
ENST00000263519,0.81,0.88,0.12
ENST00000322342,3.56,5.3,4.29
ENST00000338962,0.14,0,0.07
ENST00000338961,8.87,9.75,6.18
ENST00000457500,0,0,0
ENST00000321925,12.83,0.92,0.74
ENST00000452025,0.37,0.15,1.44
ENST00000557269,0,0,0
ENST00000542365,0,0.01,0
ENST00000355585,8.06,1.47,2.15
ENST00000603486,1.75,5.17,3.16
ENST00000581271,0,0.06,0.05
ENST00000475881,0.7,0.88,1.42
ENST00000340941,16.12,20.19,15.25
ENST00000487902,0.16,0.04,0.18
ENST00000442371,0,0,0
ENST00000487906,4.65,1.65,3.8
ENST00000596253,0,0,0
ENST00000479373,0,0,0
ENST00000368839,1.74,0.35,1.35
ENST00000480959,0,0,0
ENST00000323699,43.84,40.69,39.01
ENST00000525607,1.59,2.03,1.46
ENST00000273398,31.45,31.93,23.42
ENST00000521036,0.88,0,0.22
ENST00000268220,1.99,2.28,5.65
ENST00000420203,0,0,0
ENST00000487634,0,0,0.04
ENST00000268379,33.12,30.3,29.4
ENST00000394140,5.81,8.1,7.93
ENST00000371221,1.12,4.03,2.22
ENST00000323346,0.25,10.37,0.07
ENST00000394147,1.07,1.13,0.79
ENST00000371224,13.04,20.72,9.61
ENST00000371953,9.55,10.38,6.97
ENST00000381839,0,0.43,0.33
ENST00000367468,0.17,0.06,0.2
ENST00000528182,0,1.53,0
ENST00000398870,0,0.11,0
ENST00000367463,18.55,29.72,23.24
ENST00000381831,0.46,0.42,1.14
ENST00000568024,0,0.23,0.21
ENST00000367466,1.37,0.86,1.53
ENST00000354989,8.38,9.25,10.6
ENST00000591902,7.17,6.74,7.21
ENST00000523872,0.05,0.28,0.08
ENST00000561546,0.2,0.72,0.33
ENST00000253122,52.68,24.79,65.27
ENST00000259407,0.35,0.09,0.17
ENST00000280467,0.04,0.12,0.11
ENST00000507484,0.02,0.06,0
