,GSM997630,GSM997631,GSM997632,GSM997633,GSM997634,GSM997635
10558,10.03133292,10.56369749,10.55728929,10.17265966,10.48938053,10.17905182
4708,11.52026184,11.70282193,11.75977675,11.22378098,11.69091202,11.36335844
6476,2.398889771,2.867135663,2.470642358,2.396142284,2.4474624190000003,2.476015063
5172,3.071638369,3.375937298,4.010926727,3.1249405269999997,2.823878043,3.1958127989999996
1811,2.9860751480000003,2.917225792,2.789413524,3.04941648,3.102352703,3.029101846
1738,9.523374012,9.625934221,9.779953223,9.847619307999999,9.915036156000001,9.198331591
2271,9.091468376,8.871068256000001,9.004888702999999,8.821072654,9.188816106,8.507448112
57084,2.858215809,3.0733190919999998,3.0271310000000002,3.13779366,2.94225995,2.9844649860000003
23428,8.421774605,8.360065716,8.09351789,8.338989783999999,8.196955823,8.150187942
26227,7.870683313,7.671609097999999,7.484534345,8.448778532999999,8.017750733,8.292428652
1312,9.194322292999999,9.293273499,8.713383893,8.462328945,8.924745831000001,9.22039806
9942,4.04006211,3.7041841030000002,3.895906288,3.791338445,3.655706593,4.224331295
5742,10.11853219,10.65112523,10.83192015,10.44286793,11.38198217,11.44193048
1384,6.389985327000001,5.979575562000001,6.230875752,6.397118638999999,6.384298345,6.654861058
54187,8.060286685,7.494045401,7.915404221,7.898406631,8.248395553,7.321349239
5146,2.272442742,2.578002605,2.5933674019999997,2.469165148,2.619557178,2.559543675
11332,6.6233274479999995,6.055714192999999,6.075884162,6.052849962000001,6.275269065,5.939699641
6319,8.035937833,7.810967073,8.062649705,8.570503052000001,8.064555595,8.744325497
80270,7.108442735,6.6096009879999995,6.780463352999999,6.938269621,6.558162938,6.566030147
513,7.581877702999999,7.527324196,7.7035568660000004,7.803922531,7.903007822,8.043598149
4713,6.824753014,7.185399842000001,6.808240087000001,6.900010707000001,6.772467943,7.076498521
4507,6.591908275,6.134027589,6.775472275,6.677197446,6.213596086,6.89087342
2687,5.540206068,5.062252078999999,5.581393922999999,5.931451237,6.089204036,5.609471755
51733,5.181053601,4.710267428,4.836573523,4.642248148999999,4.653491357,5.034437539
102724197,4.658467479,4.560959113,4.329812642,4.859720671,4.404675369,4.77609193
5625,4.645287729,4.030482328,4.901935188,4.916736752,4.858626023,4.796302471000001
6576,6.474490983,6.9408527929999995,6.966643515,6.968246412,7.514083721,7.450661179
50487,5.93384347,5.77712956,5.718637418999999,6.091128532999999,6.404274975,5.810405933999999
23464,6.604705900000001,5.679437654,5.687578152,6.572993632999999,6.206836466,6.394357676
